new_index,Year,County,BU / ACRE,county_small
1982-Clearwater County,1982,CLEARWATER,55.0,Clearwater County
1982-Cottonwood County,1982,COTTONWOOD,126.0,Cottonwood County
1982-Crow Wing County,1982,CROW WING,64.0,Crow Wing County
1982-Douglas County,1982,DOUGLAS,85.0,Douglas County
1982-Faribault County,1982,FARIBAULT,137.0,Faribault County
1982-Freeborn County,1982,FREEBORN,126.0,Freeborn County
1982-Grant County,1982,GRANT,90.0,Grant County
1982-Hennepin County,1982,HENNEPIN,109.0,Hennepin County
1982-Hubbard County,1982,HUBBARD,88.0,Hubbard County
1982-Isanti County,1982,ISANTI,89.0,Isanti County
1982-Itasca County,1982,ITASCA,80.0,Itasca County
1982-Jackson County,1982,JACKSON,130.0,Jackson County
1982-Kanabec County,1982,KANABEC,80.0,Kanabec County
1982-Kandiyohi County,1982,KANDIYOHI,120.0,Kandiyohi County
1982-Kittson County,1982,KITTSON,56.0,Kittson County
1982-Koochiching County,1982,KOOCHICHING,68.0,Koochiching County
1982-Lac Qui Parle County,1982,LAC QUI PARLE,92.0,Lac Qui Parle County
1982-Lake Of The Woods County,1982,LAKE OF THE WOODS,73.0,Lake Of The Woods County
1982-Le Sueur County,1982,LE SUEUR,113.0,Le Sueur County
1982-Lincoln County,1982,LINCOLN,93.0,Lincoln County
1982-Lyon County,1982,LYON,116.0,Lyon County
1982-Mahnomen County,1982,MAHNOMEN,57.0,Mahnomen County
1982-Marshall County,1982,MARSHALL,68.0,Marshall County
1982-Martin County,1982,MARTIN,133.0,Martin County
1982-Mcleod County,1982,MCLEOD,122.0,Mcleod County
1982-Meeker County,1982,MEEKER,115.0,Meeker County
1982-Mille Lacs County,1982,MILLE LACS,95.0,Mille Lacs County
1982-Morrison County,1982,MORRISON,73.0,Morrison County
1982-Murray County,1982,MURRAY,113.0,Murray County
1982-Nicollet County,1982,NICOLLET,132.0,Nicollet County
1982-Nobles County,1982,NOBLES,111.0,Nobles County
1982-Norman County,1982,NORMAN,75.0,Norman County
1982-Otter Tail County,1982,OTTER TAIL,84.0,Otter Tail County
1982-Pennington County,1982,PENNINGTON,53.0,Pennington County
1982-Pine County,1982,PINE,83.0,Pine County
1982-Pipestone County,1982,PIPESTONE,99.0,Pipestone County
1982-Polk County,1982,POLK,60.0,Polk County
1982-Pope County,1982,POPE,102.0,Pope County
1982-Ramsey County,1982,RAMSEY,88.0,Ramsey County
1982-Red Lake County,1982,RED LAKE,70.0,Red Lake County
1982-Redwood County,1982,REDWOOD,124.0,Redwood County
1982-Renville County,1982,RENVILLE,132.0,Renville County
1982-Rice County,1982,RICE,116.0,Rice County
1982-Rock County,1982,ROCK,107.0,Rock County
1982-Roseau County,1982,ROSEAU,50.0,Roseau County
1982-Scott County,1982,SCOTT,120.0,Scott County
1982-Sherburne County,1982,SHERBURNE,101.0,Sherburne County
1982-Sibley County,1982,SIBLEY,125.0,Sibley County
1982-St. Louis County,1982,ST. LOUIS,68.0,St. Louis County
1982-Stearns County,1982,STEARNS,105.0,Stearns County
1982-Steele County,1982,STEELE,116.0,Steele County
1982-Stevens County,1982,STEVENS,101.0,Stevens County
1982-Swift County,1982,SWIFT,112.0,Swift County
1982-Todd County,1982,TODD,82.0,Todd County
1982-Traverse County,1982,TRAVERSE,75.0,Traverse County
1982-Wadena County,1982,WADENA,78.0,Wadena County
1982-Waseca County,1982,WASECA,130.0,Waseca County
1982-Washington County,1982,WASHINGTON,84.0,Washington County
1982-Watonwan County,1982,WATONWAN,138.0,Watonwan County
1982-Wilkin County,1982,WILKIN,90.0,Wilkin County
1982-Wright County,1982,WRIGHT,103.0,Wright County
1982-Yellow Medicine County,1982,YELLOW MEDICINE,118.7,Yellow Medicine County
1983-Aitkin County,1983,AITKIN,73.0,Aitkin County
1983-Anoka County,1983,ANOKA,82.0,Anoka County
1983-Becker County,1983,BECKER,58.0,Becker County
1983-Beltrami County,1983,BELTRAMI,74.0,Beltrami County
1983-Benton County,1983,BENTON,77.0,Benton County
1983-Big Stone County,1983,BIG STONE,75.0,Big Stone County
1983-Blue Earth County,1983,BLUE EARTH,88.0,Blue Earth County
1983-Brown County,1983,BROWN,85.0,Brown County
1983-Carlton County,1983,CARLTON,94.0,Carlton County
1983-Carver County,1983,CARVER,90.0,Carver County
1983-Cass County,1983,CASS,61.0,Cass County
1983-Chippewa County,1983,CHIPPEWA,72.0,Chippewa County
1983-Chisago County,1983,CHISAGO,85.0,Chisago County
1983-Clay County,1983,CLAY,77.0,Clay County
1983-Clearwater County,1983,CLEARWATER,68.0,Clearwater County
1983-Cottonwood County,1983,COTTONWOOD,81.0,Cottonwood County
1983-Crow Wing County,1983,CROW WING,62.0,Crow Wing County
1983-Douglas County,1983,DOUGLAS,65.0,Douglas County
1983-Faribault County,1983,FARIBAULT,88.0,Faribault County
1983-Freeborn County,1983,FREEBORN,92.0,Freeborn County
1983-Grant County,1983,GRANT,79.0,Grant County
1983-Hennepin County,1983,HENNEPIN,81.0,Hennepin County
1983-Hubbard County,1983,HUBBARD,91.0,Hubbard County
1983-Isanti County,1983,ISANTI,83.0,Isanti County
1983-Itasca County,1983,ITASCA,81.0,Itasca County
1983-Jackson County,1983,JACKSON,88.0,Jackson County
1983-Kanabec County,1983,KANABEC,84.0,Kanabec County
1983-Kandiyohi County,1983,KANDIYOHI,77.0,Kandiyohi County
1983-Kittson County,1983,KITTSON,47.0,Kittson County
1983-Koochiching County,1983,KOOCHICHING,74.0,Koochiching County
1983-Lac Qui Parle County,1983,LAC QUI PARLE,65.0,Lac Qui Parle County
1983-Lake Of The Woods County,1983,LAKE OF THE WOODS,32.0,Lake Of The Woods County
1983-Le Sueur County,1983,LE SUEUR,91.0,Le Sueur County
1983-Lincoln County,1983,LINCOLN,63.0,Lincoln County
1983-Lyon County,1983,LYON,69.0,Lyon County
1983-Mahnomen County,1983,MAHNOMEN,64.0,Mahnomen County
1983-Marshall County,1983,MARSHALL,60.0,Marshall County
1983-Martin County,1983,MARTIN,89.0,Martin County
1983-Mcleod County,1983,MCLEOD,96.0,Mcleod County
1983-Meeker County,1983,MEEKER,77.0,Meeker County
1983-Mille Lacs County,1983,MILLE LACS,77.0,Mille Lacs County
1983-Morrison County,1983,MORRISON,80.0,Morrison County
1983-Murray County,1983,MURRAY,80.0,Murray County
1983-Nicollet County,1983,NICOLLET,93.0,Nicollet County
1983-Nobles County,1983,NOBLES,80.0,Nobles County
1983-Norman County,1983,NORMAN,71.0,Norman County
1983-Otter Tail County,1983,OTTER TAIL,70.0,Otter Tail County
1983-Pennington County,1983,PENNINGTON,57.0,Pennington County
1983-Pine County,1983,PINE,83.0,Pine County
1983-Pipestone County,1983,PIPESTONE,68.0,Pipestone County
1983-Polk County,1983,POLK,65.0,Polk County
1983-Pope County,1983,POPE,80.0,Pope County
1983-Ramsey County,1983,RAMSEY,97.0,Ramsey County
1983-Red Lake County,1983,RED LAKE,53.0,Red Lake County
1983-Redwood County,1983,REDWOOD,82.0,Redwood County
1983-Renville County,1983,RENVILLE,90.0,Renville County
1983-Rice County,1983,RICE,92.0,Rice County
1983-Rock County,1983,ROCK,73.0,Rock County
1983-Roseau County,1983,ROSEAU,50.0,Roseau County
1983-Scott County,1983,SCOTT,85.0,Scott County
1983-Sherburne County,1983,SHERBURNE,77.0,Sherburne County
1983-Sibley County,1983,SIBLEY,96.0,Sibley County
1983-St. Louis County,1983,ST. LOUIS,60.0,St. Louis County
1983-Stearns County,1983,STEARNS,74.0,Stearns County
1983-Steele County,1983,STEELE,89.0,Steele County
1983-Stevens County,1983,STEVENS,85.0,Stevens County
1983-Swift County,1983,SWIFT,76.0,Swift County
1983-Todd County,1983,TODD,81.0,Todd County
1983-Traverse County,1983,TRAVERSE,64.0,Traverse County
1983-Wadena County,1983,WADENA,51.0,Wadena County
1983-Waseca County,1983,WASECA,89.0,Waseca County
1983-Washington County,1983,WASHINGTON,88.0,Washington County
1983-Watonwan County,1983,WATONWAN,91.0,Watonwan County
1983-Wilkin County,1983,WILKIN,67.0,Wilkin County
1983-Wright County,1983,WRIGHT,77.0,Wright County
1983-Yellow Medicine County,1983,YELLOW MEDICINE,71.0,Yellow Medicine County
1984-Aitkin County,1984,AITKIN,53.0,Aitkin County
1984-Anoka County,1984,ANOKA,86.0,Anoka County
1984-Becker County,1984,BECKER,58.0,Becker County
1984-Beltrami County,1984,BELTRAMI,47.0,Beltrami County
1984-Benton County,1984,BENTON,90.0,Benton County
1984-Big Stone County,1984,BIG STONE,87.0,Big Stone County
1984-Blue Earth County,1984,BLUE EARTH,129.0,Blue Earth County
1984-Brown County,1984,BROWN,122.0,Brown County
1984-Carlton County,1984,CARLTON,70.0,Carlton County
1984-Carver County,1984,CARVER,116.0,Carver County
1984-Cass County,1984,CASS,64.0,Cass County
1984-Chippewa County,1984,CHIPPEWA,97.0,Chippewa County
1984-Chisago County,1984,CHISAGO,90.0,Chisago County
1984-Clay County,1984,CLAY,71.0,Clay County
1984-Clearwater County,1984,CLEARWATER,68.0,Clearwater County
1984-Cottonwood County,1984,COTTONWOOD,119.0,Cottonwood County
1984-Crow Wing County,1984,CROW WING,50.0,Crow Wing County
1984-Douglas County,1984,DOUGLAS,77.0,Douglas County
1984-Faribault County,1984,FARIBAULT,130.0,Faribault County
1984-Freeborn County,1984,FREEBORN,122.0,Freeborn County
1984-Grant County,1984,GRANT,87.0,Grant County
1984-Hennepin County,1984,HENNEPIN,96.0,Hennepin County
1984-Hubbard County,1984,HUBBARD,88.0,Hubbard County
1984-Isanti County,1984,ISANTI,89.0,Isanti County
1984-Itasca County,1984,ITASCA,80.0,Itasca County
1984-Jackson County,1984,JACKSON,113.0,Jackson County
1984-Kanabec County,1984,KANABEC,76.0,Kanabec County
1984-Kandiyohi County,1984,KANDIYOHI,97.0,Kandiyohi County
1984-Kittson County,1984,KITTSON,63.0,Kittson County
1984-Koochiching County,1984,KOOCHICHING,70.0,Koochiching County
1984-Lac Qui Parle County,1984,LAC QUI PARLE,85.0,Lac Qui Parle County
1984-Lake Of The Woods County,1984,LAKE OF THE WOODS,60.0,Lake Of The Woods County
1984-Le Sueur County,1984,LE SUEUR,124.0,Le Sueur County
1984-Lincoln County,1984,LINCOLN,78.0,Lincoln County
1984-Lyon County,1984,LYON,95.0,Lyon County
1984-Mahnomen County,1984,MAHNOMEN,69.0,Mahnomen County
1984-Marshall County,1984,MARSHALL,52.0,Marshall County
1984-Martin County,1984,MARTIN,127.0,Martin County
1984-Mcleod County,1984,MCLEOD,112.0,Mcleod County
1984-Meeker County,1984,MEEKER,103.0,Meeker County
1984-Mille Lacs County,1984,MILLE LACS,83.0,Mille Lacs County
1984-Morrison County,1984,MORRISON,76.0,Morrison County
1984-Murray County,1984,MURRAY,92.0,Murray County
1984-Nicollet County,1984,NICOLLET,137.0,Nicollet County
1984-Nobles County,1984,NOBLES,99.0,Nobles County
1984-Norman County,1984,NORMAN,62.0,Norman County
1984-Otter Tail County,1984,OTTER TAIL,64.0,Otter Tail County
1984-Pennington County,1984,PENNINGTON,54.0,Pennington County
1984-Pine County,1984,PINE,75.0,Pine County
1984-Pipestone County,1984,PIPESTONE,84.0,Pipestone County
1984-Polk County,1984,POLK,67.0,Polk County
1984-Pope County,1984,POPE,88.0,Pope County
1984-Ramsey County,1984,RAMSEY,105.0,Ramsey County
1984-Red Lake County,1984,RED LAKE,57.0,Red Lake County
1984-Redwood County,1984,REDWOOD,112.0,Redwood County
1984-Renville County,1984,RENVILLE,114.0,Renville County
1984-Rice County,1984,RICE,120.0,Rice County
1984-Rock County,1984,ROCK,105.0,Rock County
1984-Roseau County,1984,ROSEAU,61.0,Roseau County
1984-Scott County,1984,SCOTT,117.0,Scott County
1984-Sherburne County,1984,SHERBURNE,96.0,Sherburne County
1984-Sibley County,1984,SIBLEY,124.0,Sibley County
1984-St. Louis County,1984,ST. LOUIS,40.0,St. Louis County
1984-Stearns County,1984,STEARNS,97.0,Stearns County
1984-Steele County,1984,STEELE,115.0,Steele County
1984-Stevens County,1984,STEVENS,105.0,Stevens County
1984-Swift County,1984,SWIFT,98.0,Swift County
1984-Todd County,1984,TODD,83.0,Todd County
1984-Traverse County,1984,TRAVERSE,95.0,Traverse County
1984-Wadena County,1984,WADENA,56.0,Wadena County
1984-Waseca County,1984,WASECA,127.0,Waseca County
1984-Washington County,1984,WASHINGTON,108.0,Washington County
1984-Watonwan County,1984,WATONWAN,135.0,Watonwan County
1984-Wilkin County,1984,WILKIN,69.0,Wilkin County
1984-Wright County,1984,WRIGHT,97.0,Wright County
1984-Yellow Medicine County,1984,YELLOW MEDICINE,93.0,Yellow Medicine County
1985-Aitkin County,1985,AITKIN,60.0,Aitkin County
1985-Anoka County,1985,ANOKA,94.0,Anoka County
1985-Becker County,1985,BECKER,59.0,Becker County
1985-Beltrami County,1985,BELTRAMI,48.0,Beltrami County
1985-Benton County,1985,BENTON,97.0,Benton County
1985-Big Stone County,1985,BIG STONE,100.0,Big Stone County
1985-Blue Earth County,1985,BLUE EARTH,133.0,Blue Earth County
1985-Brown County,1985,BROWN,133.0,Brown County
1985-Carlton County,1985,CARLTON,,Carlton County
1985-Carver County,1985,CARVER,119.0,Carver County
1985-Cass County,1985,CASS,50.0,Cass County
1985-Chippewa County,1985,CHIPPEWA,119.0,Chippewa County
1985-Chisago County,1985,CHISAGO,95.0,Chisago County
1985-Clay County,1985,CLAY,75.0,Clay County
1985-Clearwater County,1985,CLEARWATER,55.0,Clearwater County
1985-Cottonwood County,1985,COTTONWOOD,126.0,Cottonwood County
1985-Crow Wing County,1985,CROW WING,63.0,Crow Wing County
1985-Douglas County,1985,DOUGLAS,85.0,Douglas County
1985-Faribault County,1985,FARIBAULT,140.0,Faribault County
1985-Freeborn County,1985,FREEBORN,125.0,Freeborn County
1985-Grant County,1985,GRANT,86.0,Grant County
1985-Hennepin County,1985,HENNEPIN,119.0,Hennepin County
1985-Hubbard County,1985,HUBBARD,60.0,Hubbard County
1985-Isanti County,1985,ISANTI,93.0,Isanti County
1985-Itasca County,1985,ITASCA,60.0,Itasca County
1985-Jackson County,1985,JACKSON,124.0,Jackson County
1985-Kanabec County,1985,KANABEC,90.0,Kanabec County
1985-Kandiyohi County,1985,KANDIYOHI,110.0,Kandiyohi County
1985-Kittson County,1985,KITTSON,50.0,Kittson County
1985-Koochiching County,1985,KOOCHICHING,55.0,Koochiching County
1985-Lac Qui Parle County,1985,LAC QUI PARLE,113.0,Lac Qui Parle County
1985-Lake Of The Woods County,1985,LAKE OF THE WOODS,44.0,Lake Of The Woods County
1985-Le Sueur County,1985,LE SUEUR,128.0,Le Sueur County
1985-Lincoln County,1985,LINCOLN,106.0,Lincoln County
1985-Lyon County,1985,LYON,115.0,Lyon County
1985-Mahnomen County,1985,MAHNOMEN,55.0,Mahnomen County
1985-Marshall County,1985,MARSHALL,48.0,Marshall County
1985-Martin County,1985,MARTIN,141.0,Martin County
1985-Mcleod County,1985,MCLEOD,122.0,Mcleod County
1985-Meeker County,1985,MEEKER,116.0,Meeker County
1985-Mille Lacs County,1985,MILLE LACS,89.0,Mille Lacs County
1985-Morrison County,1985,MORRISON,94.0,Morrison County
1985-Murray County,1985,MURRAY,114.0,Murray County
1985-Nicollet County,1985,NICOLLET,137.0,Nicollet County
1985-Nobles County,1985,NOBLES,112.0,Nobles County
1985-Norman County,1985,NORMAN,58.0,Norman County
1985-Otter Tail County,1985,OTTER TAIL,77.0,Otter Tail County
1985-Pennington County,1985,PENNINGTON,53.0,Pennington County
1985-Pine County,1985,PINE,79.0,Pine County
1985-Pipestone County,1985,PIPESTONE,105.0,Pipestone County
1985-Polk County,1985,POLK,62.0,Polk County
1985-Pope County,1985,POPE,91.0,Pope County
1985-Ramsey County,1985,RAMSEY,120.0,Ramsey County
1985-Red Lake County,1985,RED LAKE,45.0,Red Lake County
1985-Redwood County,1985,REDWOOD,128.0,Redwood County
1985-Renville County,1985,RENVILLE,130.0,Renville County
1985-Rice County,1985,RICE,111.0,Rice County
1985-Rock County,1985,ROCK,110.0,Rock County
1985-Roseau County,1985,ROSEAU,45.0,Roseau County
1985-Scott County,1985,SCOTT,118.0,Scott County
1985-Sherburne County,1985,SHERBURNE,112.0,Sherburne County
1985-Sibley County,1985,SIBLEY,134.0,Sibley County
1985-St. Louis County,1985,ST. LOUIS,64.0,St. Louis County
1985-Stearns County,1985,STEARNS,100.0,Stearns County
1985-Steele County,1985,STEELE,116.0,Steele County
1985-Stevens County,1985,STEVENS,99.0,Stevens County
1985-Swift County,1985,SWIFT,105.0,Swift County
1985-Todd County,1985,TODD,82.0,Todd County
1985-Traverse County,1985,TRAVERSE,101.0,Traverse County
1985-Wadena County,1985,WADENA,71.0,Wadena County
1985-Waseca County,1985,WASECA,129.0,Waseca County
1985-Washington County,1985,WASHINGTON,118.0,Washington County
1985-Watonwan County,1985,WATONWAN,138.0,Watonwan County
1985-Wilkin County,1985,WILKIN,86.0,Wilkin County
1985-Wright County,1985,WRIGHT,112.0,Wright County
1985-Yellow Medicine County,1985,YELLOW MEDICINE,120.0,Yellow Medicine County
1986-Aitkin County,1986,AITKIN,83.0,Aitkin County
1986-Anoka County,1986,ANOKA,93.0,Anoka County
1986-Becker County,1986,BECKER,83.0,Becker County
1986-Beltrami County,1986,BELTRAMI,86.0,Beltrami County
1986-Benton County,1986,BENTON,107.0,Benton County
1986-Big Stone County,1986,BIG STONE,87.0,Big Stone County
1986-Blue Earth County,1986,BLUE EARTH,137.0,Blue Earth County
1986-Brown County,1986,BROWN,135.0,Brown County
1986-Carlton County,1986,CARLTON,70.0,Carlton County
1986-Carver County,1986,CARVER,123.0,Carver County
1986-Cass County,1986,CASS,83.0,Cass County
1986-Chippewa County,1986,CHIPPEWA,104.0,Chippewa County
1986-Chisago County,1986,CHISAGO,103.0,Chisago County
1986-Clay County,1986,CLAY,96.0,Clay County
1986-Clearwater County,1986,CLEARWATER,72.0,Clearwater County
1986-Cottonwood County,1986,COTTONWOOD,138.0,Cottonwood County
1986-Crow Wing County,1986,CROW WING,90.0,Crow Wing County
1986-Douglas County,1986,DOUGLAS,89.0,Douglas County
1986-Faribault County,1986,FARIBAULT,143.0,Faribault County
1986-Freeborn County,1986,FREEBORN,134.0,Freeborn County
1986-Grant County,1986,GRANT,99.0,Grant County
1986-Hennepin County,1986,HENNEPIN,118.0,Hennepin County
1986-Hubbard County,1986,HUBBARD,95.0,Hubbard County
1986-Isanti County,1986,ISANTI,107.0,Isanti County
1986-Jackson County,1986,JACKSON,134.0,Jackson County
1986-Kanabec County,1986,KANABEC,104.0,Kanabec County
1986-Kandiyohi County,1986,KANDIYOHI,109.0,Kandiyohi County
1986-Kittson County,1986,KITTSON,74.0,Kittson County
1986-Koochiching County,1986,KOOCHICHING,90.0,Koochiching County
1986-Lac Qui Parle County,1986,LAC QUI PARLE,113.0,Lac Qui Parle County
1986-Le Sueur County,1986,LE SUEUR,136.0,Le Sueur County
1986-Lincoln County,1986,LINCOLN,92.0,Lincoln County
1986-Lyon County,1986,LYON,118.0,Lyon County
1986-Mahnomen County,1986,MAHNOMEN,81.0,Mahnomen County
1986-Marshall County,1986,MARSHALL,77.0,Marshall County
1986-Martin County,1986,MARTIN,146.0,Martin County
1986-Mcleod County,1986,MCLEOD,121.0,Mcleod County
1986-Meeker County,1986,MEEKER,109.0,Meeker County
1986-Mille Lacs County,1986,MILLE LACS,96.0,Mille Lacs County
1986-Morrison County,1986,MORRISON,96.0,Morrison County
1986-Murray County,1986,MURRAY,122.0,Murray County
1986-Nicollet County,1986,NICOLLET,138.0,Nicollet County
1986-Nobles County,1986,NOBLES,111.0,Nobles County
1986-Norman County,1986,NORMAN,83.0,Norman County
1986-Other (Combined) Counties County,1986,OTHER (COMBINED) COUNTIES,75.0,Other (Combined) Counties County
1986-Other (Combined) Counties County,1986,OTHER (COMBINED) COUNTIES,89.7,Other (Combined) Counties County
1986-Otter Tail County,1986,OTTER TAIL,99.0,Otter Tail County
1986-Pennington County,1986,PENNINGTON,69.0,Pennington County
1986-Pine County,1986,PINE,92.0,Pine County
1986-Pipestone County,1986,PIPESTONE,101.0,Pipestone County
1986-Polk County,1986,POLK,84.0,Polk County
1986-Pope County,1986,POPE,102.0,Pope County
1986-Ramsey County,1986,RAMSEY,103.0,Ramsey County
1986-Red Lake County,1986,RED LAKE,71.0,Red Lake County
1986-Redwood County,1986,REDWOOD,132.0,Redwood County
1986-Renville County,1986,RENVILLE,129.0,Renville County
1986-Rice County,1986,RICE,139.0,Rice County
1986-Rock County,1986,ROCK,127.0,Rock County
1986-Roseau County,1986,ROSEAU,60.0,Roseau County
1986-Scott County,1986,SCOTT,137.0,Scott County
1986-Sherburne County,1986,SHERBURNE,127.0,Sherburne County
1986-Sibley County,1986,SIBLEY,133.0,Sibley County
1986-Stearns County,1986,STEARNS,105.0,Stearns County
1986-Steele County,1986,STEELE,130.0,Steele County
1986-Stevens County,1986,STEVENS,110.0,Stevens County
1986-Swift County,1986,SWIFT,106.0,Swift County
1986-Todd County,1986,TODD,96.0,Todd County
1986-Traverse County,1986,TRAVERSE,98.0,Traverse County
1986-Wadena County,1986,WADENA,93.0,Wadena County
1986-Waseca County,1986,WASECA,134.0,Waseca County
1986-Washington County,1986,WASHINGTON,132.0,Washington County
1986-Watonwan County,1986,WATONWAN,141.0,Watonwan County
1986-Wilkin County,1986,WILKIN,89.0,Wilkin County
1986-Wright County,1986,WRIGHT,111.0,Wright County
1986-Yellow Medicine County,1986,YELLOW MEDICINE,119.0,Yellow Medicine County
1987-Aitkin County,1987,AITKIN,101.0,Aitkin County
1987-Anoka County,1987,ANOKA,103.0,Anoka County
1987-Becker County,1987,BECKER,90.0,Becker County
1987-Beltrami County,1987,BELTRAMI,92.0,Beltrami County
1987-Benton County,1987,BENTON,113.0,Benton County
1987-Big Stone County,1987,BIG STONE,93.0,Big Stone County
1987-Blue Earth County,1987,BLUE EARTH,142.0,Blue Earth County
1987-Brown County,1987,BROWN,137.0,Brown County
1987-Carver County,1987,CARVER,133.0,Carver County
1987-Cass County,1987,CASS,100.0,Cass County
1987-Chippewa County,1987,CHIPPEWA,123.0,Chippewa County
1987-Chisago County,1987,CHISAGO,108.0,Chisago County
1987-Clay County,1987,CLAY,105.0,Clay County
1987-Clearwater County,1987,CLEARWATER,85.0,Clearwater County
1987-Cottonwood County,1987,COTTONWOOD,130.0,Cottonwood County
1987-Crow Wing County,1987,CROW WING,97.0,Crow Wing County
1987-Douglas County,1987,DOUGLAS,102.0,Douglas County
1987-Faribault County,1987,FARIBAULT,142.0,Faribault County
1987-Freeborn County,1987,FREEBORN,143.0,Freeborn County
1987-Grant County,1987,GRANT,107.0,Grant County
1987-Hennepin County,1987,HENNEPIN,127.0,Hennepin County
1987-Hubbard County,1987,HUBBARD,101.0,Hubbard County
1987-Isanti County,1987,ISANTI,105.0,Isanti County
1987-Itasca County,1987,ITASCA,84.0,Itasca County
1987-Jackson County,1987,JACKSON,140.0,Jackson County
1987-Kanabec County,1987,KANABEC,90.0,Kanabec County
1987-Kandiyohi County,1987,KANDIYOHI,124.0,Kandiyohi County
1987-Kittson County,1987,KITTSON,85.0,Kittson County
1987-Lac Qui Parle County,1987,LAC QUI PARLE,105.0,Lac Qui Parle County
1987-Le Sueur County,1987,LE SUEUR,136.0,Le Sueur County
1987-Lincoln County,1987,LINCOLN,112.0,Lincoln County
1987-Lyon County,1987,LYON,125.0,Lyon County
1987-Mahnomen County,1987,MAHNOMEN,96.0,Mahnomen County
1987-Marshall County,1987,MARSHALL,80.0,Marshall County
1987-Martin County,1987,MARTIN,142.0,Martin County
1987-Mcleod County,1987,MCLEOD,142.0,Mcleod County
1987-Meeker County,1987,MEEKER,119.0,Meeker County
1987-Mille Lacs County,1987,MILLE LACS,100.0,Mille Lacs County
1987-Morrison County,1987,MORRISON,89.0,Morrison County
1987-Murray County,1987,MURRAY,125.0,Murray County
1987-Nicollet County,1987,NICOLLET,143.0,Nicollet County
1987-Nobles County,1987,NOBLES,126.0,Nobles County
1987-Norman County,1987,NORMAN,97.0,Norman County
1987-Other (Combined) Counties County,1987,OTHER (COMBINED) COUNTIES,50.0,Other (Combined) Counties County
1987-Other (Combined) Counties County,1987,OTHER (COMBINED) COUNTIES,100.7,Other (Combined) Counties County
1987-Other (Combined) Counties County,1987,OTHER (COMBINED) COUNTIES,88.3,Other (Combined) Counties County
1987-Otter Tail County,1987,OTTER TAIL,93.0,Otter Tail County
1987-Pennington County,1987,PENNINGTON,94.0,Pennington County
1987-Pine County,1987,PINE,99.0,Pine County
1987-Pipestone County,1987,PIPESTONE,117.0,Pipestone County
1987-Polk County,1987,POLK,104.0,Polk County
1987-Pope County,1987,POPE,113.0,Pope County
1987-Red Lake County,1987,RED LAKE,97.0,Red Lake County
1987-Redwood County,1987,REDWOOD,130.0,Redwood County
1987-Renville County,1987,RENVILLE,145.0,Renville County
1987-Rice County,1987,RICE,139.0,Rice County
1987-Rock County,1987,ROCK,129.0,Rock County
1987-Roseau County,1987,ROSEAU,88.0,Roseau County
1987-Scott County,1987,SCOTT,123.0,Scott County
1987-Sherburne County,1987,SHERBURNE,108.0,Sherburne County
1987-Sibley County,1987,SIBLEY,138.0,Sibley County
1987-Stearns County,1987,STEARNS,112.0,Stearns County
1987-Steele County,1987,STEELE,140.0,Steele County
1987-Stevens County,1987,STEVENS,118.0,Stevens County
1987-Swift County,1987,SWIFT,117.0,Swift County
1987-Todd County,1987,TODD,104.0,Todd County
1987-Traverse County,1987,TRAVERSE,90.0,Traverse County
1987-Wadena County,1987,WADENA,85.0,Wadena County
1987-Waseca County,1987,WASECA,141.0,Waseca County
1987-Washington County,1987,WASHINGTON,136.0,Washington County
1987-Watonwan County,1987,WATONWAN,140.0,Watonwan County
1987-Wilkin County,1987,WILKIN,97.0,Wilkin County
1987-Wright County,1987,WRIGHT,105.0,Wright County
1987-Yellow Medicine County,1987,YELLOW MEDICINE,117.0,Yellow Medicine County
1988-Aitkin County,1988,AITKIN,88.0,Aitkin County
1988-Anoka County,1988,ANOKA,36.0,Anoka County
1988-Becker County,1988,BECKER,81.0,Becker County
1988-Beltrami County,1988,BELTRAMI,74.0,Beltrami County
1988-Benton County,1988,BENTON,83.0,Benton County
1988-Big Stone County,1988,BIG STONE,38.0,Big Stone County
1988-Blue Earth County,1988,BLUE EARTH,90.0,Blue Earth County
1988-Brown County,1988,BROWN,71.0,Brown County
1988-Carlton County,1988,CARLTON,79.0,Carlton County
1988-Carver County,1988,CARVER,40.0,Carver County
1988-Cass County,1988,CASS,73.0,Cass County
1988-Chippewa County,1988,CHIPPEWA,47.0,Chippewa County
1988-Chisago County,1988,CHISAGO,46.0,Chisago County
1988-Clay County,1988,CLAY,65.0,Clay County
1988-Clearwater County,1988,CLEARWATER,64.0,Clearwater County
1988-Cottonwood County,1988,COTTONWOOD,84.0,Cottonwood County
1988-Crow Wing County,1988,CROW WING,37.0,Crow Wing County
1988-Douglas County,1988,DOUGLAS,36.0,Douglas County
1988-Faribault County,1988,FARIBAULT,108.0,Faribault County
1988-Freeborn County,1988,FREEBORN,104.0,Freeborn County
1988-Grant County,1988,GRANT,63.0,Grant County
1988-Hennepin County,1988,HENNEPIN,35.0,Hennepin County
1988-Hubbard County,1988,HUBBARD,64.0,Hubbard County
1988-Isanti County,1988,ISANTI,66.0,Isanti County
1988-Itasca County,1988,ITASCA,83.0,Itasca County
1988-Jackson County,1988,JACKSON,99.0,Jackson County
1988-Kanabec County,1988,KANABEC,59.0,Kanabec County
1988-Kandiyohi County,1988,KANDIYOHI,63.0,Kandiyohi County
1988-Kittson County,1988,KITTSON,35.0,Kittson County
1988-Koochiching County,1988,KOOCHICHING,82.0,Koochiching County
