index,County,"YIELD, MEASURED IN BU / ACRE"
1967-POPE,POPE,52.0
1967-RAMSEY,RAMSEY,53.0
1967-RED LAKE,RED LAKE,52.0
1967-REDWOOD,REDWOOD,60.0
1967-RENVILLE,RENVILLE,66.0
1967-RICE,RICE,61.0
1967-ROCK,ROCK,56.0
1967-ROSEAU,ROSEAU,45.0
1967-SCOTT,SCOTT,55.0
1967-SHERBURNE,SHERBURNE,51.0
1967-SIBLEY,SIBLEY,59.0
1967-ST. LOUIS,ST. LOUIS,39.0
1967-STEARNS,STEARNS,57.0
1967-STEELE,STEELE,58.0
1967-STEVENS,STEVENS,61.0
1967-SWIFT,SWIFT,56.0
1967-TODD,TODD,49.0
1967-TRAVERSE,TRAVERSE,62.0
1967-WADENA,WADENA,33.0
1967-WASECA,WASECA,63.0
1967-WASHINGTON,WASHINGTON,56.0
1967-WATONWAN,WATONWAN,60.0
1967-WILKIN,WILKIN,56.0
1967-WRIGHT,WRIGHT,57.0
1967-YELLOW MEDICINE,YELLOW MEDICINE,70.0
1968-AITKIN,AITKIN,50.0
1968-ANOKA,ANOKA,48.0
1968-BECKER,BECKER,56.0
1968-BELTRAMI,BELTRAMI,46.0
1968-BENTON,BENTON,60.0
1968-BIG STONE,BIG STONE,67.0
1968-BLUE EARTH,BLUE EARTH,74.0
1968-BROWN,BROWN,55.0
1968-CARLTON,CARLTON,47.0
1968-CARVER,CARVER,67.0
1968-CASS,CASS,39.0
1968-CHIPPEWA,CHIPPEWA,73.0
1968-CHISAGO,CHISAGO,58.0
1968-CLAY,CLAY,66.0
1968-CLEARWATER,CLEARWATER,54.0
1968-COTTONWOOD,COTTONWOOD,54.0
1968-CROW WING,CROW WING,51.0
1968-DOUGLAS,DOUGLAS,59.0
1968-FARIBAULT,FARIBAULT,66.0
1968-FREEBORN,FREEBORN,65.0
1968-GRANT,GRANT,65.0
1968-HENNEPIN,HENNEPIN,62.0
1968-HUBBARD,HUBBARD,38.0
1968-ISANTI,ISANTI,57.0
1968-ITASCA,ITASCA,46.0
1968-JACKSON,JACKSON,60.0
1968-KANABEC,KANABEC,58.0
1968-KANDIYOHI,KANDIYOHI,61.0
1968-KITTSON,KITTSON,52.0
1968-KOOCHICHING,KOOCHICHING,45.0
1968-LAC QUI PARLE,LAC QUI PARLE,70.0
1968-LAKE,LAKE,24.0
1968-LAKE OF THE WOODS,LAKE OF THE WOODS,40.0
1968-LE SUEUR,LE SUEUR,72.0
1968-LINCOLN,LINCOLN,58.0
1968-LYON,LYON,68.0
1968-MAHNOMEN,MAHNOMEN,57.0
1968-MARSHALL,MARSHALL,50.0
1968-MARTIN,MARTIN,69.0
1968-MCLEOD,MCLEOD,72.0
1968-MEEKER,MEEKER,70.0
1968-MILLE LACS,MILLE LACS,65.0
1968-MORRISON,MORRISON,53.0
1968-MURRAY,MURRAY,52.0
1968-NICOLLET,NICOLLET,68.0
1968-NOBLES,NOBLES,55.0
1968-NORMAN,NORMAN,60.0
1968-OTTER TAIL,OTTER TAIL,55.0
1968-PENNINGTON,PENNINGTON,45.0
1968-PINE,PINE,58.0
1968-PIPESTONE,PIPESTONE,55.0
1968-POLK,POLK,56.0
1968-POPE,POPE,62.0
1968-RAMSEY,RAMSEY,59.0
1968-RED LAKE,RED LAKE,56.0
1968-REDWOOD,REDWOOD,68.0
1968-RENVILLE,RENVILLE,77.0
1968-RICE,RICE,67.0
1968-ROCK,ROCK,52.0
1968-ROSEAU,ROSEAU,44.0
1968-SCOTT,SCOTT,58.0
1968-SHERBURNE,SHERBURNE,52.0
1968-SIBLEY,SIBLEY,68.0
1968-ST. LOUIS,ST. LOUIS,35.0
1968-STEARNS,STEARNS,61.0
1968-STEELE,STEELE,69.0
1968-STEVENS,STEVENS,65.0
1968-SWIFT,SWIFT,65.0
1968-TODD,TODD,55.0
1968-TRAVERSE,TRAVERSE,69.0
1968-WADENA,WADENA,45.0
1968-WASECA,WASECA,67.0
1968-WASHINGTON,WASHINGTON,66.0
1968-WATONWAN,WATONWAN,68.0
1968-WILKIN,WILKIN,67.0
1968-WRIGHT,WRIGHT,62.0
1968-YELLOW MEDICINE,YELLOW MEDICINE,74.0
1969-AITKIN,AITKIN,49.0
1969-ANOKA,ANOKA,38.0
1969-BECKER,BECKER,49.0
1969-BELTRAMI,BELTRAMI,38.0
1969-BENTON,BENTON,49.0
1969-BIG STONE,BIG STONE,61.0
1969-BLUE EARTH,BLUE EARTH,67.0
1969-BROWN,BROWN,60.0
1969-CARLTON,CARLTON,49.0
1969-CARVER,CARVER,64.0
1969-CASS,CASS,38.0
1969-CHIPPEWA,CHIPPEWA,67.0
1969-CHISAGO,CHISAGO,44.0
1969-CLAY,CLAY,62.0
1969-CLEARWATER,CLEARWATER,42.0
1969-COTTONWOOD,COTTONWOOD,60.0
1969-CROW WING,CROW WING,41.0
1969-DOUGLAS,DOUGLAS,55.0
1969-FARIBAULT,FARIBAULT,62.0
1969-FREEBORN,FREEBORN,60.0
1969-GRANT,GRANT,66.0
1969-HENNEPIN,HENNEPIN,66.0
1969-HUBBARD,HUBBARD,36.0
1969-ISANTI,ISANTI,43.0
1969-ITASCA,ITASCA,46.0
1969-JACKSON,JACKSON,63.0
1969-KANABEC,KANABEC,39.0
1969-KANDIYOHI,KANDIYOHI,53.0
1969-KITTSON,KITTSON,51.0
1969-KOOCHICHING,KOOCHICHING,47.0
1969-LAC QUI PARLE,LAC QUI PARLE,62.0
1969-LAKE,LAKE,42.0
1969-LAKE OF THE WOODS,LAKE OF THE WOODS,31.0
1969-LE SUEUR,LE SUEUR,65.0
1969-LINCOLN,LINCOLN,58.0
1969-LYON,LYON,60.0
1969-MAHNOMEN,MAHNOMEN,61.0
1969-MARSHALL,MARSHALL,54.0
1969-MARTIN,MARTIN,62.0
1969-MCLEOD,MCLEOD,64.0
1969-MEEKER,MEEKER,62.0
1969-MILLE LACS,MILLE LACS,49.0
1969-MORRISON,MORRISON,41.0
1969-MURRAY,MURRAY,56.0
1969-NICOLLET,NICOLLET,70.0
1969-NOBLES,NOBLES,61.0
1969-NORMAN,NORMAN,61.0
1969-OTTER TAIL,OTTER TAIL,53.0
1969-PENNINGTON,PENNINGTON,54.0
1969-PINE,PINE,38.0
1969-PIPESTONE,PIPESTONE,59.0
1969-POLK,POLK,54.0
1969-POPE,POPE,51.0
1969-RAMSEY,RAMSEY,40.0
1969-RED LAKE,RED LAKE,58.0
1969-REDWOOD,REDWOOD,60.0
1969-RENVILLE,RENVILLE,67.0
1969-RICE,RICE,58.0
1969-ROCK,ROCK,61.0
1969-ROSEAU,ROSEAU,38.0
1969-SCOTT,SCOTT,56.0
1969-SHERBURNE,SHERBURNE,39.0
1969-SIBLEY,SIBLEY,63.0
1969-ST. LOUIS,ST. LOUIS,44.0
1969-STEARNS,STEARNS,49.0
1969-STEELE,STEELE,59.0
1969-STEVENS,STEVENS,63.0
1969-SWIFT,SWIFT,57.0
1969-TODD,TODD,44.0
1969-TRAVERSE,TRAVERSE,64.0
1969-WADENA,WADENA,42.0
1969-WASECA,WASECA,65.0
1969-WASHINGTON,WASHINGTON,55.0
1969-WATONWAN,WATONWAN,61.0
1969-WILKIN,WILKIN,68.0
1969-WRIGHT,WRIGHT,56.0
1969-YELLOW MEDICINE,YELLOW MEDICINE,63.0
1970-AITKIN,AITKIN,39.0
1970-ANOKA,ANOKA,39.0
1970-BECKER,BECKER,39.0
1970-BELTRAMI,BELTRAMI,29.0
1970-BENTON,BENTON,48.0
1970-BIG STONE,BIG STONE,58.0
1970-BLUE EARTH,BLUE EARTH,70.0
1970-BROWN,BROWN,67.0
1970-CARLTON,CARLTON,44.0
1970-CARVER,CARVER,62.0
1970-CASS,CASS,29.0
1970-CHIPPEWA,CHIPPEWA,60.0
1970-CHISAGO,CHISAGO,53.0
1970-CLAY,CLAY,49.0
1970-CLEARWATER,CLEARWATER,36.0
1970-COTTONWOOD,COTTONWOOD,57.0
1970-CROW WING,CROW WING,37.0
1970-DOUGLAS,DOUGLAS,50.0
1970-FARIBAULT,FARIBAULT,69.0
1970-FREEBORN,FREEBORN,64.0
1970-GRANT,GRANT,52.0
1970-HENNEPIN,HENNEPIN,61.0
1970-HUBBARD,HUBBARD,21.0
1970-ISANTI,ISANTI,54.0
1970-ITASCA,ITASCA,41.0
1970-JACKSON,JACKSON,63.0
1970-KANABEC,KANABEC,52.0
1970-KANDIYOHI,KANDIYOHI,59.0
1970-KITTSON,KITTSON,27.0
1970-KOOCHICHING,KOOCHICHING,33.0
1970-LAC QUI PARLE,LAC QUI PARLE,63.0
1970-LAKE OF THE WOODS,LAKE OF THE WOODS,31.0
1970-LE SUEUR,LE SUEUR,60.0
1970-LINCOLN,LINCOLN,49.0
1970-LYON,LYON,58.0
1970-MAHNOMEN,MAHNOMEN,42.0
1970-MARSHALL,MARSHALL,33.0
1970-MARTIN,MARTIN,63.0
1970-MCLEOD,MCLEOD,65.0
1970-MEEKER,MEEKER,65.0
1970-MILLE LACS,MILLE LACS,59.0
1970-MORRISON,MORRISON,43.0
1970-MURRAY,MURRAY,54.0
1970-NICOLLET,NICOLLET,69.0
1970-NOBLES,NOBLES,56.0
1970-NORMAN,NORMAN,40.0
1970-OTTER TAIL,OTTER TAIL,45.0
1970-PENNINGTON,PENNINGTON,32.0
1970-PINE,PINE,52.0
1970-PIPESTONE,PIPESTONE,50.0
1970-POLK,POLK,41.0
1970-POPE,POPE,49.0
1970-RAMSEY,RAMSEY,50.0
1970-RED LAKE,RED LAKE,32.0
1970-REDWOOD,REDWOOD,64.0
1970-RENVILLE,RENVILLE,73.0
1970-RICE,RICE,59.0
1970-ROCK,ROCK,52.0
1970-ROSEAU,ROSEAU,25.0
1970-SCOTT,SCOTT,53.0
1970-SHERBURNE,SHERBURNE,36.0
1970-SIBLEY,SIBLEY,68.0
1970-ST. LOUIS,ST. LOUIS,43.0
1970-STEARNS,STEARNS,54.0
1970-STEELE,STEELE,60.0
1970-STEVENS,STEVENS,61.0
1970-SWIFT,SWIFT,55.0
1970-TODD,TODD,43.0
1970-TRAVERSE,TRAVERSE,58.0
1970-WADENA,WADENA,30.0
1970-WASECA,WASECA,59.0
1970-WASHINGTON,WASHINGTON,54.0
1970-WATONWAN,WATONWAN,71.0
1970-WILKIN,WILKIN,52.0
1970-WRIGHT,WRIGHT,61.0
1970-YELLOW MEDICINE,YELLOW MEDICINE,58.0
1971-AITKIN,AITKIN,40.0
1971-ANOKA,ANOKA,46.0
1971-BECKER,BECKER,55.0
1971-BELTRAMI,BELTRAMI,46.0
1971-BENTON,BENTON,48.0
1971-BIG STONE,BIG STONE,71.0
1971-BLUE EARTH,BLUE EARTH,69.0
1971-BROWN,BROWN,68.0
1971-CARLTON,CARLTON,46.0
1971-CARVER,CARVER,63.0
1971-CASS,CASS,36.0
1971-CHIPPEWA,CHIPPEWA,55.0
1971-CHISAGO,CHISAGO,56.0
1971-CLAY,CLAY,56.0
1971-CLEARWATER,CLEARWATER,51.0
1971-COTTONWOOD,COTTONWOOD,62.0
1971-CROW WING,CROW WING,42.0
1971-DOUGLAS,DOUGLAS,60.0
1971-FARIBAULT,FARIBAULT,68.0
1971-FREEBORN,FREEBORN,61.0
1971-GRANT,GRANT,67.0
1971-HENNEPIN,HENNEPIN,60.0
1971-HUBBARD,HUBBARD,40.0
1971-ISANTI,ISANTI,54.0
1971-ITASCA,ITASCA,50.0
1971-JACKSON,JACKSON,61.0
1971-KANABEC,KANABEC,50.0
1971-KANDIYOHI,KANDIYOHI,55.0
1971-KITTSON,KITTSON,61.0
1971-KOOCHICHING,KOOCHICHING,68.0
1971-LAC QUI PARLE,LAC QUI PARLE,66.0
1971-LAKE OF THE WOODS,LAKE OF THE WOODS,50.0
1971-LE SUEUR,LE SUEUR,59.0
1971-LINCOLN,LINCOLN,58.0
1971-LYON,LYON,64.0
1971-MAHNOMEN,MAHNOMEN,60.0
1971-MARSHALL,MARSHALL,63.0
1971-MARTIN,MARTIN,71.0
1971-MCLEOD,MCLEOD,55.0
1971-MEEKER,MEEKER,64.0
1971-MILLE LACS,MILLE LACS,55.0
1971-MORRISON,MORRISON,47.0
1971-MURRAY,MURRAY,58.0
1971-NICOLLET,NICOLLET,63.0
1971-NOBLES,NOBLES,56.0
1971-NORMAN,NORMAN,61.0
1971-OTTER TAIL,OTTER TAIL,54.0
1971-PENNINGTON,PENNINGTON,58.0
1971-PINE,PINE,56.0
1971-PIPESTONE,PIPESTONE,61.0
1971-POLK,POLK,61.0
1971-POPE,POPE,54.0
1971-RAMSEY,RAMSEY,42.0
1971-RED LAKE,RED LAKE,64.0
1971-REDWOOD,REDWOOD,71.0
1971-RENVILLE,RENVILLE,63.0
1971-RICE,RICE,60.0
1971-ROCK,ROCK,55.0
1971-ROSEAU,ROSEAU,64.0
1971-SCOTT,SCOTT,55.0
1971-SHERBURNE,SHERBURNE,40.0
1971-SIBLEY,SIBLEY,54.0
1971-ST. LOUIS,ST. LOUIS,52.0
1971-STEARNS,STEARNS,54.0
1971-STEELE,STEELE,60.0
1971-STEVENS,STEVENS,64.0
1971-SWIFT,SWIFT,50.0
1971-TODD,TODD,53.0
1971-TRAVERSE,TRAVERSE,67.0
1971-WADENA,WADENA,51.0
1971-WASECA,WASECA,60.0
1971-WASHINGTON,WASHINGTON,53.0
1971-WATONWAN,WATONWAN,69.0
1971-WILKIN,WILKIN,64.0
1971-WRIGHT,WRIGHT,51.0
1971-YELLOW MEDICINE,YELLOW MEDICINE,65.0
1972-AITKIN,AITKIN,41.0
1972-ANOKA,ANOKA,50.0
1972-BECKER,BECKER,47.0
1972-BELTRAMI,BELTRAMI,49.0
1972-BENTON,BENTON,48.0
1972-BIG STONE,BIG STONE,50.0
1972-BLUE EARTH,BLUE EARTH,79.0
1972-BROWN,BROWN,69.0
1972-CARLTON,CARLTON,36.0
1972-CARVER,CARVER,61.0
1972-CASS,CASS,33.0
1972-CHIPPEWA,CHIPPEWA,52.0
1972-CHISAGO,CHISAGO,52.0
1972-CLAY,CLAY,45.0
1972-CLEARWATER,CLEARWATER,48.0
1972-COTTONWOOD,COTTONWOOD,66.0
1972-CROW WING,CROW WING,36.0
1972-DOUGLAS,DOUGLAS,34.0
1972-FARIBAULT,FARIBAULT,71.0
1972-FREEBORN,FREEBORN,74.0
1972-GRANT,GRANT,35.0
1972-HENNEPIN,HENNEPIN,52.0
1972-HUBBARD,HUBBARD,36.0
1972-ISANTI,ISANTI,48.0
1972-ITASCA,ITASCA,49.0
1972-JACKSON,JACKSON,64.0
1972-KANABEC,KANABEC,46.0
1972-KANDIYOHI,KANDIYOHI,45.0
1972-KITTSON,KITTSON,55.0
1972-KOOCHICHING,KOOCHICHING,48.0
1972-LAC QUI PARLE,LAC QUI PARLE,50.0
1972-LAKE OF THE WOODS,LAKE OF THE WOODS,60.0
1972-LE SUEUR,LE SUEUR,65.0
1972-LINCOLN,LINCOLN,53.0
1972-LYON,LYON,66.0
1972-MAHNOMEN,MAHNOMEN,46.0
1972-MARSHALL,MARSHALL,58.0
1972-MARTIN,MARTIN,73.0
1972-MCLEOD,MCLEOD,59.0
1972-MEEKER,MEEKER,60.0
1972-MILLE LACS,MILLE LACS,53.0
1972-MORRISON,MORRISON,45.0
1972-MURRAY,MURRAY,62.0
1972-NICOLLET,NICOLLET,73.0
1972-NOBLES,NOBLES,66.0
1972-NORMAN,NORMAN,49.0
1972-OTTER TAIL,OTTER TAIL,46.0
1972-PENNINGTON,PENNINGTON,55.0
1972-PINE,PINE,46.0
1972-PIPESTONE,PIPESTONE,58.0
1972-POLK,POLK,54.0
1972-POPE,POPE,36.0
1972-RAMSEY,RAMSEY,37.0
1972-RED LAKE,RED LAKE,52.0
1972-REDWOOD,REDWOOD,74.0
1972-RENVILLE,RENVILLE,64.0
1972-RICE,RICE,69.0
1972-ROCK,ROCK,68.0
1972-ROSEAU,ROSEAU,59.0
1972-SCOTT,SCOTT,56.0
1972-SHERBURNE,SHERBURNE,59.0
1972-SIBLEY,SIBLEY,63.0
1972-ST. LOUIS,ST. LOUIS,40.0
1972-STEARNS,STEARNS,48.0
1972-STEELE,STEELE,70.0
1972-STEVENS,STEVENS,39.0
1972-SWIFT,SWIFT,42.0
1972-TODD,TODD,36.0
1972-TRAVERSE,TRAVERSE,37.0
1972-WADENA,WADENA,32.0
1972-WASECA,WASECA,70.0
1972-WASHINGTON,WASHINGTON,54.0
1972-WATONWAN,WATONWAN,79.0
1972-WILKIN,WILKIN,35.0
1972-WRIGHT,WRIGHT,55.0
1972-YELLOW MEDICINE,YELLOW MEDICINE,58.0
1973-AITKIN,AITKIN,42.0
1973-ANOKA,ANOKA,66.0
1973-BECKER,BECKER,55.0
1973-BELTRAMI,BELTRAMI,44.0
1973-BENTON,BENTON,52.0
1973-BIG STONE,BIG STONE,69.0
1973-BLUE EARTH,BLUE EARTH,78.0
1973-BROWN,BROWN,69.0
1973-CARLTON,CARLTON,43.0
1973-CARVER,CARVER,70.0
1973-CASS,CASS,43.0
1973-CHIPPEWA,CHIPPEWA,73.0
1973-CHISAGO,CHISAGO,60.0
1973-CLAY,CLAY,55.0
1973-CLEARWATER,CLEARWATER,47.0
1973-COTTONWOOD,COTTONWOOD,65.0
1973-CROW WING,CROW WING,51.0
1973-DOUGLAS,DOUGLAS,53.0
1973-FARIBAULT,FARIBAULT,70.0
1973-FREEBORN,FREEBORN,63.0
1973-GRANT,GRANT,55.0
1973-HENNEPIN,HENNEPIN,69.0
1973-HUBBARD,HUBBARD,43.0
1973-ISANTI,ISANTI,56.0
1973-ITASCA,ITASCA,50.0
1973-JACKSON,JACKSON,68.0
1973-KANABEC,KANABEC,48.0
1973-KANDIYOHI,KANDIYOHI,55.0
1973-KITTSON,KITTSON,44.0
1973-KOOCHICHING,KOOCHICHING,52.0
1973-LAC QUI PARLE,LAC QUI PARLE,62.0
1973-LAKE OF THE WOODS,LAKE OF THE WOODS,59.0
1973-LE SUEUR,LE SUEUR,65.0
1973-LINCOLN,LINCOLN,61.0
1973-LYON,LYON,64.0
1973-MAHNOMEN,MAHNOMEN,56.0
1973-MARSHALL,MARSHALL,49.0
1973-MARTIN,MARTIN,79.0
1973-MCLEOD,MCLEOD,70.0
1973-MEEKER,MEEKER,60.0
1973-MILLE LACS,MILLE LACS,57.0
1973-MORRISON,MORRISON,54.0
1973-MURRAY,MURRAY,65.0
1973-NICOLLET,NICOLLET,79.0
1973-NOBLES,NOBLES,68.0
1973-NORMAN,NORMAN,57.0
1973-OTTER TAIL,OTTER TAIL,49.0
1973-PENNINGTON,PENNINGTON,42.0
1973-PINE,PINE,52.0
1973-PIPESTONE,PIPESTONE,65.0
1973-POLK,POLK,48.0
1973-POPE,POPE,51.0
1973-RAMSEY,RAMSEY,46.0
1973-RED LAKE,RED LAKE,47.0
1973-REDWOOD,REDWOOD,75.0
1973-RENVILLE,RENVILLE,75.0
1973-RICE,RICE,65.0
1973-ROCK,ROCK,69.0
1973-ROSEAU,ROSEAU,55.0
1973-SCOTT,SCOTT,59.0
1973-SHERBURNE,SHERBURNE,59.0
1973-SIBLEY,SIBLEY,72.0
1973-ST. LOUIS,ST. LOUIS,42.0
1973-STEARNS,STEARNS,55.0
1973-STEELE,STEELE,61.0
1973-STEVENS,STEVENS,66.0
1973-SWIFT,SWIFT,58.0
1973-TODD,TODD,52.0
1973-TRAVERSE,TRAVERSE,61.0
1973-WADENA,WADENA,49.0
1973-WASECA,WASECA,70.0
1973-WASHINGTON,WASHINGTON,60.0
1973-WATONWAN,WATONWAN,78.0
1973-WILKIN,WILKIN,53.0
1973-WRIGHT,WRIGHT,58.0
1973-YELLOW MEDICINE,YELLOW MEDICINE,66.0
1974-AITKIN,AITKIN,32.0
1974-ANOKA,ANOKA,44.0
1974-BECKER,BECKER,33.0
1974-BELTRAMI,BELTRAMI,34.0
1974-BENTON,BENTON,47.0
1974-BIG STONE,BIG STONE,40.0
1974-BLUE EARTH,BLUE EARTH,67.0
1974-BROWN,BROWN,64.0
1974-CARLTON,CARLTON,38.0
1974-CARVER,CARVER,66.0
1974-CASS,CASS,34.0
1974-CHIPPEWA,CHIPPEWA,63.0
1974-CHISAGO,CHISAGO,53.0
1974-CLAY,CLAY,44.0
1974-CLEARWATER,CLEARWATER,36.0
1974-COTTONWOOD,COTTONWOOD,64.0
1974-CROW WING,CROW WING,38.0
1974-DOUGLAS,DOUGLAS,43.0
1974-FARIBAULT,FARIBAULT,71.0
1974-FREEBORN,FREEBORN,62.0
1974-GRANT,GRANT,48.0
1974-HENNEPIN,HENNEPIN,60.0
1974-HUBBARD,HUBBARD,22.0
1974-ISANTI,ISANTI,49.0
1974-ITASCA,ITASCA,34.0
1974-JACKSON,JACKSON,65.0
1974-KANABEC,KANABEC,46.0
1974-KANDIYOHI,KANDIYOHI,49.0
1974-KITTSON,KITTSON,35.0
1974-KOOCHICHING,KOOCHICHING,41.0
1974-LAC QUI PARLE,LAC QUI PARLE,54.0
1974-LAKE OF THE WOODS,LAKE OF THE WOODS,44.0
1974-LE SUEUR,LE SUEUR,59.0
1974-LINCOLN,LINCOLN,54.0
1974-LYON,LYON,61.0
1974-MAHNOMEN,MAHNOMEN,45.0
1974-MARSHALL,MARSHALL,42.0
1974-MARTIN,MARTIN,71.0
1974-MCLEOD,MCLEOD,64.0
1974-MEEKER,MEEKER,55.0
1974-MILLE LACS,MILLE LACS,53.0
1974-MORRISON,MORRISON,39.0
1974-MURRAY,MURRAY,62.0
1974-NICOLLET,NICOLLET,70.0
1974-NOBLES,NOBLES,60.0
1974-NORMAN,NORMAN,40.0
1974-OTTER TAIL,OTTER TAIL,37.0
1974-PENNINGTON,PENNINGTON,42.0
1974-PINE,PINE,45.0
1974-PIPESTONE,PIPESTONE,55.0
1974-POLK,POLK,40.0
1974-POPE,POPE,42.0
1974-RAMSEY,RAMSEY,51.0
1974-RED LAKE,RED LAKE,39.0
1974-REDWOOD,REDWOOD,65.0
1974-RENVILLE,RENVILLE,65.0
1974-RICE,RICE,60.0
1974-ROCK,ROCK,61.0
1974-ROSEAU,ROSEAU,44.0
1974-SCOTT,SCOTT,58.0
1974-SHERBURNE,SHERBURNE,42.0
1974-SIBLEY,SIBLEY,65.0
1974-ST. LOUIS,ST. LOUIS,38.0
1974-STEARNS,STEARNS,50.0
1974-STEELE,STEELE,64.0
1974-STEVENS,STEVENS,51.0
1974-SWIFT,SWIFT,49.0
1974-TODD,TODD,38.0
1974-TRAVERSE,TRAVERSE,39.0
1974-WADENA,WADENA,30.0
1974-WASECA,WASECA,65.0
1974-WASHINGTON,WASHINGTON,55.0
1974-WATONWAN,WATONWAN,74.0
1974-WILKIN,WILKIN,49.0
1974-WRIGHT,WRIGHT,58.0
1974-YELLOW MEDICINE,YELLOW MEDICINE,58.0
1975-AITKIN,AITKIN,45.5
1975-ANOKA,ANOKA,39.0
1975-BECKER,BECKER,35.5
1975-BELTRAMI,BELTRAMI,38.5
1975-BENTON,BENTON,43.0
1975-BIG STONE,BIG STONE,58.5
1975-BLUE EARTH,BLUE EARTH,57.0
1975-BROWN,BROWN,66.0
1975-CARLTON,CARLTON,35.0
1975-CARVER,CARVER,62.0
1975-CASS,CASS,38.0
1975-CHIPPEWA,CHIPPEWA,65.0
1975-CHISAGO,CHISAGO,42.5
1975-CLAY,CLAY,39.0
1975-CLEARWATER,CLEARWATER,50.0
1975-COTTONWOOD,COTTONWOOD,67.0
1975-CROW WING,CROW WING,51.0
1975-DOUGLAS,DOUGLAS,50.5
1975-FARIBAULT,FARIBAULT,60.0
1975-FREEBORN,FREEBORN,52.0
1975-GRANT,GRANT,54.5
1975-HENNEPIN,HENNEPIN,46.5
1975-HUBBARD,HUBBARD,29.5
1975-ISANTI,ISANTI,45.5
1975-ITASCA,ITASCA,47.0
1975-JACKSON,JACKSON,70.0
1975-KANABEC,KANABEC,52.5
1975-KANDIYOHI,KANDIYOHI,52.5
1975-KITTSON,KITTSON,45.5
1975-KOOCHICHING,KOOCHICHING,56.0
1975-LAC QUI PARLE,LAC QUI PARLE,55.0
1975-LAKE OF THE WOODS,LAKE OF THE WOODS,50.0
1975-LE SUEUR,LE SUEUR,56.5
1975-LINCOLN,LINCOLN,56.0
1975-LYON,LYON,48.5
1975-MAHNOMEN,MAHNOMEN,45.5
1975-MARSHALL,MARSHALL,44.5
1975-MARTIN,MARTIN,73.0
1975-MCLEOD,MCLEOD,64.5
1975-MEEKER,MEEKER,50.5
1975-MILLE LACS,MILLE LACS,47.5
1975-MORRISON,MORRISON,41.5
1975-MURRAY,MURRAY,71.0
1975-NICOLLET,NICOLLET,68.5
1975-NOBLES,NOBLES,76.5
1975-NORMAN,NORMAN,37.0
1975-OTTER TAIL,OTTER TAIL,44.0
1975-PENNINGTON,PENNINGTON,37.5
1975-PINE,PINE,49.5
1975-PIPESTONE,PIPESTONE,60.0
1975-POLK,POLK,46.0
1975-POPE,POPE,49.0
1975-RAMSEY,RAMSEY,46.0
1975-RED LAKE,RED LAKE,38.5
1975-REDWOOD,REDWOOD,68.5
1975-RENVILLE,RENVILLE,71.0
1975-RICE,RICE,53.0
1975-ROCK,ROCK,81.0
1975-ROSEAU,ROSEAU,50.0
1975-SCOTT,SCOTT,51.0
1975-SHERBURNE,SHERBURNE,52.0
1975-SIBLEY,SIBLEY,65.5
1975-ST. LOUIS,ST. LOUIS,45.0
1975-STEARNS,STEARNS,50.5
1975-STEELE,STEELE,53.5
1975-STEVENS,STEVENS,60.0
1975-SWIFT,SWIFT,49.0
1975-TODD,TODD,48.0
1975-TRAVERSE,TRAVERSE,50.5
1975-WADENA,WADENA,41.5
1975-WASECA,WASECA,57.0
1975-WASHINGTON,WASHINGTON,53.5
1975-WATONWAN,WATONWAN,72.0
1975-WILKIN,WILKIN,42.0
1975-WRIGHT,WRIGHT,50.5
1975-YELLOW MEDICINE,YELLOW MEDICINE,51.0
1976-AITKIN,AITKIN,52.1
1976-ANOKA,ANOKA,26.6
1976-BECKER,BECKER,34.7
1976-BELTRAMI,BELTRAMI,35.5
1976-BENTON,BENTON,41.6
1976-BIG STONE,BIG STONE,13.6
1976-BLUE EARTH,BLUE EARTH,65.1
1976-BROWN,BROWN,41.5
1976-CARLTON,CARLTON,48.4
1976-CARVER,CARVER,57.6
1976-CASS,CASS,34.8
1976-CHIPPEWA,CHIPPEWA,33.0
1976-CHISAGO,CHISAGO,42.1
1976-CLAY,CLAY,58.3
1976-CLEARWATER,CLEARWATER,47.0
1976-COTTONWOOD,COTTONWOOD,54.0
1976-CROW WING,CROW WING,33.5
1976-DOUGLAS,DOUGLAS,31.0
1976-FARIBAULT,FARIBAULT,81.7
1976-FREEBORN,FREEBORN,71.6
1976-GRANT,GRANT,42.6
1976-HENNEPIN,HENNEPIN,47.3
1976-HUBBARD,HUBBARD,26.7
1976-ISANTI,ISANTI,43.6
1976-ITASCA,ITASCA,44.3
1976-JACKSON,JACKSON,58.4
1976-KANABEC,KANABEC,44.1
1976-KANDIYOHI,KANDIYOHI,34.9
1976-KITTSON,KITTSON,51.1
1976-KOOCHICHING,KOOCHICHING,48.6
1976-LAC QUI PARLE,LAC QUI PARLE,18.6
1976-LAKE OF THE WOODS,LAKE OF THE WOODS,69.1
1976-LE SUEUR,LE SUEUR,54.3
1976-LINCOLN,LINCOLN,25.5
1976-LYON,LYON,30.9
1976-MAHNOMEN,MAHNOMEN,57.2
1976-MARSHALL,MARSHALL,54.4
1976-MARTIN,MARTIN,66.8
1976-MCLEOD,MCLEOD,54.9
1976-MEEKER,MEEKER,45.7
1976-MILLE LACS,MILLE LACS,54.4
1976-MORRISON,MORRISON,33.5
1976-MURRAY,MURRAY,46.7
1976-NICOLLET,NICOLLET,58.8
1976-NOBLES,NOBLES,52.9
1976-NORMAN,NORMAN,58.1
